"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new Workspace","0","Create new workspace test","tests","Sun Apr 27 01:41:38 GMT 2025","broken","Sun Apr 27 01:41:38 GMT 2025","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Sun Apr 27 01:43:18 GMT 2025","broken","Sun Apr 27 01:43:18 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10247","Login with invalid credentials test","tests","Sun Apr 27 01:42:23 GMT 2025","broken","Sun Apr 27 01:42:33 GMT 2025","TestLogin","test_login","",""
"Search for an existing project","0","Search for existing project test","tests","Sun Apr 27 01:43:35 GMT 2025","broken","Sun Apr 27 01:43:35 GMT 2025","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Sun Apr 27 01:42:50 GMT 2025","broken","Sun Apr 27 01:42:50 GMT 2025","TestWorkspaces","test_workspaces","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Sun Apr 27 01:42:06 GMT 2025","broken","Sun Apr 27 01:42:06 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10246","Login with valid credentials test","tests","Sun Apr 27 01:41:27 GMT 2025","broken","Sun Apr 27 01:41:37 GMT 2025","TestLogin","test_login","",""
"invalid login","10243","Login with invalid credentials test","tests","Sun Apr 27 01:42:39 GMT 2025","broken","Sun Apr 27 01:42:50 GMT 2025","TestLogin","test_login","",""
"Forgot password with a valid email address","10251","Forgot Password with valid email test","Custom parent suite","Sun Apr 27 01:44:38 GMT 2025","broken","Sun Apr 27 01:44:48 GMT 2025","Custom sub suite","Custom suite","",""
"Search for a non existing project","0","Search for non existing project","tests","Sun Apr 27 01:43:52 GMT 2025","broken","Sun Apr 27 01:43:52 GMT 2025","TestWorkspaces","test_workspaces","",""
"Exception catching","10243","Exception test","Custom parent suite","Sun Apr 27 01:45:09 GMT 2025","broken","Sun Apr 27 01:45:19 GMT 2025","Custom sub suite","Custom suite","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Sun Apr 27 01:43:04 GMT 2025","broken","Sun Apr 27 01:43:04 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10294","Forgot Password with invalid email test","Custom parent suite","Sun Apr 27 01:44:52 GMT 2025","broken","Sun Apr 27 01:45:02 GMT 2025","Custom sub suite","Custom suite","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Sun Apr 27 01:44:05 GMT 2025","broken","Sun Apr 27 01:44:05 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10245","Logout of system test","tests","Sun Apr 27 01:41:55 GMT 2025","broken","Sun Apr 27 01:42:05 GMT 2025","TestLogin","test_login","",""
"Skip Test example","0","Skipped test example","tests","Sun Apr 27 01:45:20 GMT 2025","skipped","Sun Apr 27 01:45:20 GMT 2025","TestLogin","test_login","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Sun Apr 27 01:44:22 GMT 2025","broken","Sun Apr 27 01:44:22 GMT 2025","TestWorkspaces","test_workspaces","",""
