"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new Workspace","0","Create new workspace test","tests","Tue Jul 08 01:45:05 GMT 2025","broken","Tue Jul 08 01:45:05 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10244","Forgot Password with invalid email test","Custom parent suite","Tue Jul 08 01:48:33 GMT 2025","broken","Tue Jul 08 01:48:43 GMT 2025","Custom sub suite","Custom suite","",""
"invalid login","10254","Login with invalid credentials test","tests","Tue Jul 08 01:45:57 GMT 2025","broken","Tue Jul 08 01:46:07 GMT 2025","TestLogin","test_login","",""
"Log out from app","10242","Logout of system test","tests","Tue Jul 08 01:45:26 GMT 2025","broken","Tue Jul 08 01:45:36 GMT 2025","TestLogin","test_login","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Tue Jul 08 01:46:42 GMT 2025","broken","Tue Jul 08 01:46:42 GMT 2025","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Tue Jul 08 01:48:58 GMT 2025","skipped","Tue Jul 08 01:48:58 GMT 2025","TestLogin","test_login","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Tue Jul 08 01:46:25 GMT 2025","broken","Tue Jul 08 01:46:25 GMT 2025","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Tue Jul 08 01:46:57 GMT 2025","broken","Tue Jul 08 01:46:57 GMT 2025","TestWorkspaces","test_workspaces","",""
"Exception catching","10236","Exception test","Custom parent suite","Tue Jul 08 01:48:47 GMT 2025","broken","Tue Jul 08 01:48:57 GMT 2025","Custom sub suite","Custom suite","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Tue Jul 08 01:47:42 GMT 2025","broken","Tue Jul 08 01:47:42 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Tue Jul 08 01:47:28 GMT 2025","broken","Tue Jul 08 01:47:28 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10248","Forgot Password with valid email test","Custom parent suite","Tue Jul 08 01:48:16 GMT 2025","broken","Tue Jul 08 01:48:26 GMT 2025","Custom sub suite","Custom suite","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Tue Jul 08 01:47:56 GMT 2025","broken","Tue Jul 08 01:47:56 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10247","Login with valid credentials test","tests","Tue Jul 08 01:44:54 GMT 2025","broken","Tue Jul 08 01:45:05 GMT 2025","TestLogin","test_login","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Tue Jul 08 01:45:37 GMT 2025","broken","Tue Jul 08 01:45:37 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Tue Jul 08 01:47:11 GMT 2025","broken","Tue Jul 08 01:47:11 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10236","Login with invalid credentials test","tests","Tue Jul 08 01:46:14 GMT 2025","broken","Tue Jul 08 01:46:25 GMT 2025","TestLogin","test_login","",""
