"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Log out from app","10300","Logout of system test","tests","Wed Jan 15 01:19:26 GMT 2025","broken","Wed Jan 15 01:19:36 GMT 2025","TestLogin","test_login","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Wed Jan 15 01:22:04 GMT 2025","broken","Wed Jan 15 01:22:04 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10295","Login with invalid credentials test","tests","Wed Jan 15 01:19:56 GMT 2025","broken","Wed Jan 15 01:20:06 GMT 2025","TestLogin","test_login","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Wed Jan 15 01:20:55 GMT 2025","broken","Wed Jan 15 01:20:55 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Wed Jan 15 01:21:28 GMT 2025","broken","Wed Jan 15 01:21:28 GMT 2025","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Wed Jan 15 01:20:40 GMT 2025","broken","Wed Jan 15 01:20:40 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10345","Forgot Password with invalid email test","Custom parent suite","Wed Jan 15 01:22:43 GMT 2025","broken","Wed Jan 15 01:22:54 GMT 2025","Custom sub suite","Custom suite","",""
"Exception catching","10288","Exception test","Custom parent suite","Wed Jan 15 01:22:58 GMT 2025","broken","Wed Jan 15 01:23:09 GMT 2025","Custom sub suite","Custom suite","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Wed Jan 15 01:20:22 GMT 2025","broken","Wed Jan 15 01:20:22 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10327","Login with valid credentials test","tests","Wed Jan 15 01:18:50 GMT 2025","broken","Wed Jan 15 01:19:00 GMT 2025","TestLogin","test_login","",""
"Create new Workspace","0","Create new workspace test","tests","Wed Jan 15 01:19:01 GMT 2025","broken","Wed Jan 15 01:19:01 GMT 2025","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Wed Jan 15 01:23:10 GMT 2025","skipped","Wed Jan 15 01:23:10 GMT 2025","TestLogin","test_login","",""
"Forgot password with a valid email address","10307","Forgot Password with valid email test","Custom parent suite","Wed Jan 15 01:22:25 GMT 2025","broken","Wed Jan 15 01:22:35 GMT 2025","Custom sub suite","Custom suite","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Wed Jan 15 01:19:37 GMT 2025","broken","Wed Jan 15 01:19:37 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Wed Jan 15 01:21:13 GMT 2025","broken","Wed Jan 15 01:21:13 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10301","Login with invalid credentials test","tests","Wed Jan 15 01:20:11 GMT 2025","broken","Wed Jan 15 01:20:21 GMT 2025","TestLogin","test_login","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Wed Jan 15 01:21:47 GMT 2025","broken","Wed Jan 15 01:21:47 GMT 2025","TestWorkspaces","test_workspaces","",""
