"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Forgot password with a valid email address","10239","Forgot Password with valid email test","Custom parent suite","Wed May 14 01:42:55 GMT 2025","broken","Wed May 14 01:43:05 GMT 2025","Custom sub suite","Custom suite","",""
"Search for an existing project","0","Search for existing project test","tests","Wed May 14 01:41:53 GMT 2025","broken","Wed May 14 01:41:53 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Wed May 14 01:42:07 GMT 2025","broken","Wed May 14 01:42:07 GMT 2025","TestWorkspaces","test_workspaces","",""
"Exception catching","10246","Exception test","Custom parent suite","Wed May 14 01:43:26 GMT 2025","broken","Wed May 14 01:43:36 GMT 2025","Custom sub suite","Custom suite","",""
"invalid login","10235","Login with invalid credentials test","tests","Wed May 14 01:40:54 GMT 2025","broken","Wed May 14 01:41:04 GMT 2025","TestLogin","test_login","",""
"Create new Workspace","0","Create new workspace test","tests","Wed May 14 01:39:46 GMT 2025","broken","Wed May 14 01:39:46 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10255","Login with valid credentials test","tests","Wed May 14 01:39:35 GMT 2025","broken","Wed May 14 01:39:45 GMT 2025","TestLogin","test_login","",""
"invalid login","10240","Login with invalid credentials test","tests","Wed May 14 01:40:37 GMT 2025","broken","Wed May 14 01:40:47 GMT 2025","TestLogin","test_login","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Wed May 14 01:42:21 GMT 2025","broken","Wed May 14 01:42:21 GMT 2025","TestWorkspaces","test_workspaces","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Wed May 14 01:42:38 GMT 2025","broken","Wed May 14 01:42:38 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10267","Forgot Password with invalid email test","Custom parent suite","Wed May 14 01:43:09 GMT 2025","broken","Wed May 14 01:43:19 GMT 2025","Custom sub suite","Custom suite","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Wed May 14 01:41:39 GMT 2025","broken","Wed May 14 01:41:39 GMT 2025","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Wed May 14 01:41:22 GMT 2025","broken","Wed May 14 01:41:22 GMT 2025","TestWorkspaces","test_workspaces","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Wed May 14 01:40:17 GMT 2025","broken","Wed May 14 01:40:17 GMT 2025","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Wed May 14 01:41:05 GMT 2025","broken","Wed May 14 01:41:05 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10238","Logout of system test","tests","Wed May 14 01:40:06 GMT 2025","broken","Wed May 14 01:40:16 GMT 2025","TestLogin","test_login","",""
"Skip Test example","0","Skipped test example","tests","Wed May 14 01:43:37 GMT 2025","skipped","Wed May 14 01:43:37 GMT 2025","TestLogin","test_login","",""
