"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Cancel project deletion","0","Cancel a project deletion","tests","Mon Jan 20 01:21:48 GMT 2025","broken","Mon Jan 20 01:21:48 GMT 2025","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Mon Jan 20 01:19:18 GMT 2025","broken","Mon Jan 20 01:19:18 GMT 2025","TestWorkspaces","test_workspaces","",""
"Exception catching","10300","Exception test","Custom parent suite","Mon Jan 20 01:22:51 GMT 2025","broken","Mon Jan 20 01:23:02 GMT 2025","Custom sub suite","Custom suite","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Mon Jan 20 01:22:03 GMT 2025","broken","Mon Jan 20 01:22:03 GMT 2025","TestWorkspaces","test_workspaces","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Mon Jan 20 01:19:49 GMT 2025","broken","Mon Jan 20 01:19:49 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10300","Login with invalid credentials test","tests","Mon Jan 20 01:20:23 GMT 2025","broken","Mon Jan 20 01:20:33 GMT 2025","TestLogin","test_login","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Mon Jan 20 01:20:34 GMT 2025","broken","Mon Jan 20 01:20:34 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10310","Login with valid credentials test","tests","Mon Jan 20 01:19:07 GMT 2025","broken","Mon Jan 20 01:19:17 GMT 2025","TestLogin","test_login","",""
"Log out from app","10306","Logout of system test","tests","Mon Jan 20 01:19:37 GMT 2025","broken","Mon Jan 20 01:19:48 GMT 2025","TestLogin","test_login","",""
"Forgot password with a valid email address","10310","Forgot Password with valid email test","Custom parent suite","Mon Jan 20 01:22:22 GMT 2025","broken","Mon Jan 20 01:22:32 GMT 2025","Custom sub suite","Custom suite","",""
"Search for a non existing project","0","Search for non existing project","tests","Mon Jan 20 01:21:33 GMT 2025","broken","Mon Jan 20 01:21:33 GMT 2025","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Mon Jan 20 01:21:04 GMT 2025","broken","Mon Jan 20 01:21:04 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10291","Login with invalid credentials test","tests","Mon Jan 20 01:20:08 GMT 2025","broken","Mon Jan 20 01:20:18 GMT 2025","TestLogin","test_login","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Mon Jan 20 01:20:49 GMT 2025","broken","Mon Jan 20 01:20:49 GMT 2025","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Mon Jan 20 01:23:03 GMT 2025","skipped","Mon Jan 20 01:23:03 GMT 2025","TestLogin","test_login","",""
"Forgot Password with invalid email address","10315","Forgot Password with invalid email test","Custom parent suite","Mon Jan 20 01:22:37 GMT 2025","broken","Mon Jan 20 01:22:47 GMT 2025","Custom sub suite","Custom suite","",""
"Search for an existing project","0","Search for existing project test","tests","Mon Jan 20 01:21:18 GMT 2025","broken","Mon Jan 20 01:21:18 GMT 2025","TestWorkspaces","test_workspaces","",""
