"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 30 01:05:26 GMT 2023","Thu Nov 30 01:05:26 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"broken","Thu Nov 30 01:06:05 GMT 2023","Thu Nov 30 01:06:05 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Thu Nov 30 01:05:01 GMT 2023","Thu Nov 30 01:05:11 GMT 2023","10183","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Thu Nov 30 01:05:52 GMT 2023","Thu Nov 30 01:05:52 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Thu Nov 30 01:04:23 GMT 2023","Thu Nov 30 01:04:33 GMT 2023","10173","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
"broken","Thu Nov 30 01:04:35 GMT 2023","Thu Nov 30 01:04:35 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Thu Nov 30 01:07:09 GMT 2023","Thu Nov 30 01:07:19 GMT 2023","10175","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
"broken","Thu Nov 30 01:06:17 GMT 2023","Thu Nov 30 01:06:17 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Thu Nov 30 01:04:48 GMT 2023","Thu Nov 30 01:04:59 GMT 2023","10181","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Thu Nov 30 01:06:44 GMT 2023","Thu Nov 30 01:06:54 GMT 2023","10180","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"skipped","Thu Nov 30 01:07:21 GMT 2023","Thu Nov 30 01:07:21 GMT 2023","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Thu Nov 30 01:05:14 GMT 2023","Thu Nov 30 01:05:14 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Thu Nov 30 01:06:30 GMT 2023","Thu Nov 30 01:06:30 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
"broken","Thu Nov 30 01:06:56 GMT 2023","Thu Nov 30 01:07:07 GMT 2023","10335","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Thu Nov 30 01:03:57 GMT 2023","Thu Nov 30 01:04:07 GMT 2023","10171","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
"broken","Thu Nov 30 01:04:08 GMT 2023","Thu Nov 30 01:04:08 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Thu Nov 30 01:05:39 GMT 2023","Thu Nov 30 01:05:39 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
