"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"invalid login","10258","Login with invalid credentials test","tests","Mon Mar 03 01:25:34 GMT 2025","broken","Mon Mar 03 01:25:44 GMT 2025","TestLogin","test_login","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Mon Mar 03 01:27:00 GMT 2025","broken","Mon Mar 03 01:27:00 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10269","Login with invalid credentials test","tests","Mon Mar 03 01:25:18 GMT 2025","broken","Mon Mar 03 01:25:28 GMT 2025","TestLogin","test_login","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Mon Mar 03 01:26:16 GMT 2025","broken","Mon Mar 03 01:26:16 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10255","Logout of system test","tests","Mon Mar 03 01:24:48 GMT 2025","broken","Mon Mar 03 01:24:59 GMT 2025","TestLogin","test_login","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Mon Mar 03 01:25:45 GMT 2025","broken","Mon Mar 03 01:25:45 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Mon Mar 03 01:26:46 GMT 2025","broken","Mon Mar 03 01:26:46 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10251","Login with valid credentials test","tests","Mon Mar 03 01:24:19 GMT 2025","broken","Mon Mar 03 01:24:29 GMT 2025","TestLogin","test_login","",""
"Skip Test example","0","Skipped test example","tests","Mon Mar 03 01:28:14 GMT 2025","skipped","Mon Mar 03 01:28:14 GMT 2025","TestLogin","test_login","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Mon Mar 03 01:25:00 GMT 2025","broken","Mon Mar 03 01:25:00 GMT 2025","TestWorkspaces","test_workspaces","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Mon Mar 03 01:27:15 GMT 2025","broken","Mon Mar 03 01:27:15 GMT 2025","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Mon Mar 03 01:26:01 GMT 2025","broken","Mon Mar 03 01:26:01 GMT 2025","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Mon Mar 03 01:24:30 GMT 2025","broken","Mon Mar 03 01:24:30 GMT 2025","TestWorkspaces","test_workspaces","",""
"Exception catching","10248","Exception test","Custom parent suite","Mon Mar 03 01:28:03 GMT 2025","broken","Mon Mar 03 01:28:13 GMT 2025","Custom sub suite","Custom suite","",""
"Forgot Password with invalid email address","10262","Forgot Password with invalid email test","Custom parent suite","Mon Mar 03 01:27:48 GMT 2025","broken","Mon Mar 03 01:27:59 GMT 2025","Custom sub suite","Custom suite","",""
"Search for an existing project","0","Search for existing project test","tests","Mon Mar 03 01:26:31 GMT 2025","broken","Mon Mar 03 01:26:31 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10265","Forgot Password with valid email test","Custom parent suite","Mon Mar 03 01:27:34 GMT 2025","broken","Mon Mar 03 01:27:44 GMT 2025","Custom sub suite","Custom suite","",""
