"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Skip Test example","0","Skipped test example","tests","Sat Nov 09 01:21:28 GMT 2024","skipped","Sat Nov 09 01:21:28 GMT 2024","TestLogin","test_login","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Sat Nov 09 01:18:35 GMT 2024","broken","Sat Nov 09 01:18:35 GMT 2024","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Sat Nov 09 01:19:56 GMT 2024","broken","Sat Nov 09 01:19:56 GMT 2024","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Sat Nov 09 01:18:51 GMT 2024","broken","Sat Nov 09 01:18:51 GMT 2024","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Sat Nov 09 01:18:20 GMT 2024","broken","Sat Nov 09 01:18:20 GMT 2024","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10275","Forgot Password with invalid email test","Custom parent suite","Sat Nov 09 01:21:02 GMT 2024","broken","Sat Nov 09 01:21:12 GMT 2024","Custom sub suite","Custom suite","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Sat Nov 09 01:17:33 GMT 2024","broken","Sat Nov 09 01:17:33 GMT 2024","TestWorkspaces","test_workspaces","",""
"valid login","10448","Login with valid credentials test","tests","Sat Nov 09 01:16:50 GMT 2024","broken","Sat Nov 09 01:17:00 GMT 2024","TestLogin","test_login","",""
"Log out from app","10290","Logout of system test","tests","Sat Nov 09 01:17:22 GMT 2024","broken","Sat Nov 09 01:17:32 GMT 2024","TestLogin","test_login","",""
"invalid login","10277","Login with invalid credentials test","tests","Sat Nov 09 01:17:53 GMT 2024","broken","Sat Nov 09 01:18:03 GMT 2024","TestLogin","test_login","",""
"Create new Workspace","0","Create new workspace test","tests","Sat Nov 09 01:17:02 GMT 2024","broken","Sat Nov 09 01:17:02 GMT 2024","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Sat Nov 09 01:19:40 GMT 2024","broken","Sat Nov 09 01:19:40 GMT 2024","TestWorkspaces","test_workspaces","",""
"Exception catching","10280","Exception test","Custom parent suite","Sat Nov 09 01:21:17 GMT 2024","broken","Sat Nov 09 01:21:27 GMT 2024","Custom sub suite","Custom suite","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Sat Nov 09 01:20:27 GMT 2024","broken","Sat Nov 09 01:20:27 GMT 2024","TestWorkspaces","test_workspaces","",""
"invalid login","10296","Login with invalid credentials test","tests","Sat Nov 09 01:18:08 GMT 2024","broken","Sat Nov 09 01:18:18 GMT 2024","TestLogin","test_login","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Sat Nov 09 01:20:11 GMT 2024","broken","Sat Nov 09 01:20:11 GMT 2024","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10284","Forgot Password with valid email test","Custom parent suite","Sat Nov 09 01:20:46 GMT 2024","broken","Sat Nov 09 01:20:57 GMT 2024","Custom sub suite","Custom suite","",""
