"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Forgot Password with invalid email address","10332","Forgot Password with invalid email test","Custom parent suite","Mon Dec 23 01:24:52 GMT 2024","broken","Mon Dec 23 01:25:03 GMT 2024","Custom sub suite","Custom suite","",""
"Create new Workspace","0","Create new workspace test","tests","Mon Dec 23 01:21:34 GMT 2024","broken","Mon Dec 23 01:21:34 GMT 2024","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Mon Dec 23 01:25:18 GMT 2024","skipped","Mon Dec 23 01:25:18 GMT 2024","TestLogin","test_login","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Mon Dec 23 01:24:04 GMT 2024","broken","Mon Dec 23 01:24:04 GMT 2024","TestWorkspaces","test_workspaces","",""
"Exception catching","10313","Exception test","Custom parent suite","Mon Dec 23 01:25:07 GMT 2024","broken","Mon Dec 23 01:25:17 GMT 2024","Custom sub suite","Custom suite","",""
"invalid login","10302","Login with invalid credentials test","tests","Mon Dec 23 01:22:22 GMT 2024","broken","Mon Dec 23 01:22:32 GMT 2024","TestLogin","test_login","",""
"Log out from app","10304","Logout of system test","tests","Mon Dec 23 01:21:52 GMT 2024","broken","Mon Dec 23 01:22:03 GMT 2024","TestLogin","test_login","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Mon Dec 23 01:23:18 GMT 2024","broken","Mon Dec 23 01:23:18 GMT 2024","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Mon Dec 23 01:23:48 GMT 2024","broken","Mon Dec 23 01:23:48 GMT 2024","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10313","Forgot Password with valid email test","Custom parent suite","Mon Dec 23 01:24:37 GMT 2024","broken","Mon Dec 23 01:24:48 GMT 2024","Custom sub suite","Custom suite","",""
"valid login","10343","Login with valid credentials test","tests","Mon Dec 23 01:21:22 GMT 2024","broken","Mon Dec 23 01:21:33 GMT 2024","TestLogin","test_login","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Mon Dec 23 01:22:04 GMT 2024","broken","Mon Dec 23 01:22:04 GMT 2024","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Mon Dec 23 01:22:49 GMT 2024","broken","Mon Dec 23 01:22:49 GMT 2024","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Mon Dec 23 01:23:03 GMT 2024","broken","Mon Dec 23 01:23:03 GMT 2024","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Mon Dec 23 01:23:33 GMT 2024","broken","Mon Dec 23 01:23:33 GMT 2024","TestWorkspaces","test_workspaces","",""
"invalid login","10292","Login with invalid credentials test","tests","Mon Dec 23 01:22:37 GMT 2024","broken","Mon Dec 23 01:22:48 GMT 2024","TestLogin","test_login","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Mon Dec 23 01:24:19 GMT 2024","broken","Mon Dec 23 01:24:19 GMT 2024","TestWorkspaces","test_workspaces","",""
