"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Rename an existing workspace","0","Rename an existing workspace test","tests","Wed Jun 25 01:45:16 GMT 2025","broken","Wed Jun 25 01:45:16 GMT 2025","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Wed Jun 25 01:44:48 GMT 2025","broken","Wed Jun 25 01:44:48 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Wed Jun 25 01:46:39 GMT 2025","broken","Wed Jun 25 01:46:39 GMT 2025","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Wed Jun 25 01:45:58 GMT 2025","broken","Wed Jun 25 01:45:58 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10249","Login with invalid credentials test","tests","Wed Jun 25 01:45:47 GMT 2025","broken","Wed Jun 25 01:45:57 GMT 2025","TestLogin","test_login","",""
"Exception catching","10250","Exception test","Custom parent suite","Wed Jun 25 01:48:03 GMT 2025","broken","Wed Jun 25 01:48:14 GMT 2025","Custom sub suite","Custom suite","",""
"valid login","10246","Login with valid credentials test","tests","Wed Jun 25 01:44:37 GMT 2025","broken","Wed Jun 25 01:44:48 GMT 2025","TestLogin","test_login","",""
"invalid login","10247","Login with invalid credentials test","tests","Wed Jun 25 01:45:33 GMT 2025","broken","Wed Jun 25 01:45:43 GMT 2025","TestLogin","test_login","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Wed Jun 25 01:47:19 GMT 2025","broken","Wed Jun 25 01:47:19 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10266","Forgot Password with invalid email test","Custom parent suite","Wed Jun 25 01:47:50 GMT 2025","broken","Wed Jun 25 01:48:00 GMT 2025","Custom sub suite","Custom suite","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Wed Jun 25 01:47:06 GMT 2025","broken","Wed Jun 25 01:47:06 GMT 2025","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Wed Jun 25 01:46:26 GMT 2025","broken","Wed Jun 25 01:46:26 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Wed Jun 25 01:46:52 GMT 2025","broken","Wed Jun 25 01:46:52 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10245","Logout of system test","tests","Wed Jun 25 01:45:05 GMT 2025","broken","Wed Jun 25 01:45:15 GMT 2025","TestLogin","test_login","",""
"Forgot password with a valid email address","10243","Forgot Password with valid email test","Custom parent suite","Wed Jun 25 01:47:36 GMT 2025","broken","Wed Jun 25 01:47:46 GMT 2025","Custom sub suite","Custom suite","",""
"Skip Test example","0","Skipped test example","tests","Wed Jun 25 01:48:14 GMT 2025","skipped","Wed Jun 25 01:48:14 GMT 2025","TestLogin","test_login","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Wed Jun 25 01:46:11 GMT 2025","broken","Wed Jun 25 01:46:11 GMT 2025","TestWorkspaces","test_workspaces","",""
