"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Exception catching","10242","Exception test","Custom parent suite","Tue Mar 25 01:29:43 GMT 2025","broken","Tue Mar 25 01:29:53 GMT 2025","Custom sub suite","Custom suite","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Tue Mar 25 01:27:25 GMT 2025","broken","Tue Mar 25 01:27:25 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10242","Logout of system test","tests","Tue Mar 25 01:26:27 GMT 2025","broken","Tue Mar 25 01:26:37 GMT 2025","TestLogin","test_login","",""
"valid login","10249","Login with valid credentials test","tests","Tue Mar 25 01:25:57 GMT 2025","broken","Tue Mar 25 01:26:07 GMT 2025","TestLogin","test_login","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Tue Mar 25 01:26:38 GMT 2025","broken","Tue Mar 25 01:26:38 GMT 2025","TestWorkspaces","test_workspaces","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Tue Mar 25 01:28:40 GMT 2025","broken","Tue Mar 25 01:28:40 GMT 2025","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Tue Mar 25 01:27:40 GMT 2025","broken","Tue Mar 25 01:27:40 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10247","Login with invalid credentials test","tests","Tue Mar 25 01:27:13 GMT 2025","broken","Tue Mar 25 01:27:23 GMT 2025","TestLogin","test_login","",""
"Forgot password with a valid email address","10240","Forgot Password with valid email test","Custom parent suite","Tue Mar 25 01:29:13 GMT 2025","broken","Tue Mar 25 01:29:23 GMT 2025","Custom sub suite","Custom suite","",""
"Create new Workspace","0","Create new workspace test","tests","Tue Mar 25 01:26:09 GMT 2025","broken","Tue Mar 25 01:26:09 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Tue Mar 25 01:28:10 GMT 2025","broken","Tue Mar 25 01:28:10 GMT 2025","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Tue Mar 25 01:27:55 GMT 2025","broken","Tue Mar 25 01:27:55 GMT 2025","TestWorkspaces","test_workspaces","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Tue Mar 25 01:28:55 GMT 2025","broken","Tue Mar 25 01:28:55 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10253","Login with invalid credentials test","tests","Tue Mar 25 01:26:57 GMT 2025","broken","Tue Mar 25 01:27:07 GMT 2025","TestLogin","test_login","",""
"Search for a non existing project","0","Search for non existing project","tests","Tue Mar 25 01:28:25 GMT 2025","broken","Tue Mar 25 01:28:25 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10245","Forgot Password with invalid email test","Custom parent suite","Tue Mar 25 01:29:28 GMT 2025","broken","Tue Mar 25 01:29:38 GMT 2025","Custom sub suite","Custom suite","",""
"Skip Test example","0","Skipped test example","tests","Tue Mar 25 01:29:54 GMT 2025","skipped","Tue Mar 25 01:29:54 GMT 2025","TestLogin","test_login","",""
