"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"invalid login","10287","Login with invalid credentials test","tests","Sun Jan 05 01:27:22 GMT 2025","broken","Sun Jan 05 01:27:32 GMT 2025","TestLogin","test_login","",""
"Exception catching","10308","Exception test","Custom parent suite","Sun Jan 05 01:30:26 GMT 2025","broken","Sun Jan 05 01:30:36 GMT 2025","Custom sub suite","Custom suite","",""
"Forgot Password with invalid email address","10337","Forgot Password with invalid email test","Custom parent suite","Sun Jan 05 01:30:08 GMT 2025","broken","Sun Jan 05 01:30:19 GMT 2025","Custom sub suite","Custom suite","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Sun Jan 05 01:26:59 GMT 2025","broken","Sun Jan 05 01:26:59 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Sun Jan 05 01:29:00 GMT 2025","broken","Sun Jan 05 01:29:00 GMT 2025","TestWorkspaces","test_workspaces","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Sun Jan 05 01:29:32 GMT 2025","broken","Sun Jan 05 01:29:32 GMT 2025","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Sun Jan 05 01:27:51 GMT 2025","broken","Sun Jan 05 01:27:51 GMT 2025","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Sun Jan 05 01:28:24 GMT 2025","broken","Sun Jan 05 01:28:24 GMT 2025","TestWorkspaces","test_workspaces","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Sun Jan 05 01:29:15 GMT 2025","broken","Sun Jan 05 01:29:15 GMT 2025","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Sun Jan 05 01:28:09 GMT 2025","broken","Sun Jan 05 01:28:09 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10295","Logout of system test","tests","Sun Jan 05 01:26:48 GMT 2025","broken","Sun Jan 05 01:26:58 GMT 2025","TestLogin","test_login","",""
"Forgot password with a valid email address","10308","Forgot Password with valid email test","Custom parent suite","Sun Jan 05 01:29:53 GMT 2025","broken","Sun Jan 05 01:30:03 GMT 2025","Custom sub suite","Custom suite","",""
"Create new Workspace","0","Create new workspace test","tests","Sun Jan 05 01:26:24 GMT 2025","broken","Sun Jan 05 01:26:24 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10301","Login with invalid credentials test","tests","Sun Jan 05 01:27:39 GMT 2025","broken","Sun Jan 05 01:27:50 GMT 2025","TestLogin","test_login","",""
"valid login","10296","Login with valid credentials test","tests","Sun Jan 05 01:26:13 GMT 2025","broken","Sun Jan 05 01:26:23 GMT 2025","TestLogin","test_login","",""
"Search for an existing project","0","Search for existing project test","tests","Sun Jan 05 01:28:41 GMT 2025","broken","Sun Jan 05 01:28:41 GMT 2025","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Sun Jan 05 01:30:38 GMT 2025","skipped","Sun Jan 05 01:30:38 GMT 2025","TestLogin","test_login","",""
