"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 20 00:54:33 GMT 2023","Wed Dec 20 00:54:33 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"broken","Wed Dec 20 00:53:43 GMT 2023","Wed Dec 20 00:53:54 GMT 2023","10278","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Wed Dec 20 00:53:56 GMT 2023","Wed Dec 20 00:54:06 GMT 2023","10203","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Wed Dec 20 00:54:07 GMT 2023","Wed Dec 20 00:54:07 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Wed Dec 20 00:56:01 GMT 2023","Wed Dec 20 00:56:12 GMT 2023","10204","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
"broken","Wed Dec 20 00:53:05 GMT 2023","Wed Dec 20 00:53:05 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Wed Dec 20 00:54:20 GMT 2023","Wed Dec 20 00:54:20 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"broken","Wed Dec 20 00:52:53 GMT 2023","Wed Dec 20 00:53:03 GMT 2023","10175","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
"broken","Wed Dec 20 00:55:36 GMT 2023","Wed Dec 20 00:55:47 GMT 2023","10194","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Wed Dec 20 00:54:45 GMT 2023","Wed Dec 20 00:54:45 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Wed Dec 20 00:53:30 GMT 2023","Wed Dec 20 00:53:30 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Wed Dec 20 00:53:18 GMT 2023","Wed Dec 20 00:53:29 GMT 2023","10211","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
"broken","Wed Dec 20 00:54:58 GMT 2023","Wed Dec 20 00:54:58 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Wed Dec 20 00:55:10 GMT 2023","Wed Dec 20 00:55:10 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Wed Dec 20 00:55:49 GMT 2023","Wed Dec 20 00:55:59 GMT 2023","10323","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"skipped","Wed Dec 20 00:56:13 GMT 2023","Wed Dec 20 00:56:13 GMT 2023","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Wed Dec 20 00:55:23 GMT 2023","Wed Dec 20 00:55:23 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
