"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Search for an existing project","0","Search for existing project test","tests","Thu Apr 17 01:30:17 GMT 2025","broken","Thu Apr 17 01:30:17 GMT 2025","TestWorkspaces","test_workspaces","",""
"Exception catching","10230","Exception test","Custom parent suite","Thu Apr 17 01:31:52 GMT 2025","broken","Thu Apr 17 01:32:02 GMT 2025","Custom sub suite","Custom suite","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Thu Apr 17 01:30:00 GMT 2025","broken","Thu Apr 17 01:30:00 GMT 2025","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Thu Apr 17 01:28:17 GMT 2025","broken","Thu Apr 17 01:28:17 GMT 2025","TestWorkspaces","test_workspaces","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Thu Apr 17 01:28:47 GMT 2025","broken","Thu Apr 17 01:28:47 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10229","Login with invalid credentials test","tests","Thu Apr 17 01:29:17 GMT 2025","broken","Thu Apr 17 01:29:27 GMT 2025","TestLogin","test_login","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Thu Apr 17 01:29:28 GMT 2025","broken","Thu Apr 17 01:29:28 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10220","Logout of system test","tests","Thu Apr 17 01:28:36 GMT 2025","broken","Thu Apr 17 01:28:46 GMT 2025","TestLogin","test_login","",""
"Search for a non existing project","0","Search for non existing project","tests","Thu Apr 17 01:30:33 GMT 2025","broken","Thu Apr 17 01:30:33 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10264","Login with valid credentials test","tests","Thu Apr 17 01:28:06 GMT 2025","broken","Thu Apr 17 01:28:16 GMT 2025","TestLogin","test_login","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Thu Apr 17 01:29:43 GMT 2025","broken","Thu Apr 17 01:29:43 GMT 2025","TestWorkspaces","test_workspaces","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Thu Apr 17 01:31:01 GMT 2025","broken","Thu Apr 17 01:31:01 GMT 2025","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Thu Apr 17 01:32:03 GMT 2025","skipped","Thu Apr 17 01:32:03 GMT 2025","TestLogin","test_login","",""
"invalid login","10218","Login with invalid credentials test","tests","Thu Apr 17 01:29:04 GMT 2025","broken","Thu Apr 17 01:29:14 GMT 2025","TestLogin","test_login","",""
"Forgot password with a valid email address","10236","Forgot Password with valid email test","Custom parent suite","Thu Apr 17 01:31:18 GMT 2025","broken","Thu Apr 17 01:31:29 GMT 2025","Custom sub suite","Custom suite","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Thu Apr 17 01:30:47 GMT 2025","broken","Thu Apr 17 01:30:47 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10256","Forgot Password with invalid email test","Custom parent suite","Thu Apr 17 01:31:35 GMT 2025","broken","Thu Apr 17 01:31:45 GMT 2025","Custom sub suite","Custom suite","",""
