"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Dec 12 01:07:07 GMT 2023","Tue Dec 12 01:07:07 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Tue Dec 12 01:05:14 GMT 2023","Tue Dec 12 01:05:14 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Tue Dec 12 01:05:53 GMT 2023","Tue Dec 12 01:06:03 GMT 2023","10272","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Tue Dec 12 01:07:59 GMT 2023","Tue Dec 12 01:08:09 GMT 2023","10330","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Tue Dec 12 01:05:39 GMT 2023","Tue Dec 12 01:05:39 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Tue Dec 12 01:06:55 GMT 2023","Tue Dec 12 01:06:55 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Tue Dec 12 01:08:11 GMT 2023","Tue Dec 12 01:08:21 GMT 2023","10187","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
"broken","Tue Dec 12 01:06:06 GMT 2023","Tue Dec 12 01:06:16 GMT 2023","10185","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Tue Dec 12 01:06:30 GMT 2023","Tue Dec 12 01:06:30 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"broken","Tue Dec 12 01:06:42 GMT 2023","Tue Dec 12 01:06:42 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"skipped","Tue Dec 12 01:08:23 GMT 2023","Tue Dec 12 01:08:23 GMT 2023","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Tue Dec 12 01:05:03 GMT 2023","Tue Dec 12 01:05:13 GMT 2023","10207","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
"broken","Tue Dec 12 01:07:32 GMT 2023","Tue Dec 12 01:07:32 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
"broken","Tue Dec 12 01:07:46 GMT 2023","Tue Dec 12 01:07:56 GMT 2023","10199","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Tue Dec 12 01:07:20 GMT 2023","Tue Dec 12 01:07:20 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Tue Dec 12 01:06:17 GMT 2023","Tue Dec 12 01:06:17 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Tue Dec 12 01:05:28 GMT 2023","Tue Dec 12 01:05:38 GMT 2023","10188","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
