"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Rename an existing workspace","0","Rename an existing workspace test","tests","Fri Feb 21 01:21:27 GMT 2025","broken","Fri Feb 21 01:21:27 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10265","Logout of system test","tests","Fri Feb 21 01:21:16 GMT 2025","broken","Fri Feb 21 01:21:26 GMT 2025","TestLogin","test_login","",""
"Exception catching","10257","Exception test","Custom parent suite","Fri Feb 21 01:24:32 GMT 2025","broken","Fri Feb 21 01:24:43 GMT 2025","Custom sub suite","Custom suite","",""
"Skip Test example","0","Skipped test example","tests","Fri Feb 21 01:24:44 GMT 2025","skipped","Fri Feb 21 01:24:44 GMT 2025","TestLogin","test_login","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Fri Feb 21 01:23:45 GMT 2025","broken","Fri Feb 21 01:23:45 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Fri Feb 21 01:23:14 GMT 2025","broken","Fri Feb 21 01:23:14 GMT 2025","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Fri Feb 21 01:22:29 GMT 2025","broken","Fri Feb 21 01:22:29 GMT 2025","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Fri Feb 21 01:22:44 GMT 2025","broken","Fri Feb 21 01:22:44 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10242","Login with invalid credentials test","tests","Fri Feb 21 01:21:47 GMT 2025","broken","Fri Feb 21 01:21:57 GMT 2025","TestLogin","test_login","",""
"invalid login","10248","Login with invalid credentials test","tests","Fri Feb 21 01:22:02 GMT 2025","broken","Fri Feb 21 01:22:12 GMT 2025","TestLogin","test_login","",""
"Forgot password with a valid email address","10286","Forgot Password with valid email test","Custom parent suite","Fri Feb 21 01:24:03 GMT 2025","broken","Fri Feb 21 01:24:13 GMT 2025","Custom sub suite","Custom suite","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Fri Feb 21 01:22:13 GMT 2025","broken","Fri Feb 21 01:22:13 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10240","Login with valid credentials test","tests","Fri Feb 21 01:20:46 GMT 2025","broken","Fri Feb 21 01:20:56 GMT 2025","TestLogin","test_login","",""
"Forgot Password with invalid email address","10279","Forgot Password with invalid email test","Custom parent suite","Fri Feb 21 01:24:18 GMT 2025","broken","Fri Feb 21 01:24:28 GMT 2025","Custom sub suite","Custom suite","",""
"Create new Workspace","0","Create new workspace test","tests","Fri Feb 21 01:20:58 GMT 2025","broken","Fri Feb 21 01:20:58 GMT 2025","TestWorkspaces","test_workspaces","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Fri Feb 21 01:23:30 GMT 2025","broken","Fri Feb 21 01:23:30 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Fri Feb 21 01:22:59 GMT 2025","broken","Fri Feb 21 01:22:59 GMT 2025","TestWorkspaces","test_workspaces","",""
