"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 16 01:02:35 GMT 2024","Fri Feb 16 01:02:35 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
"broken","Fri Feb 16 01:01:45 GMT 2024","Fri Feb 16 01:01:45 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"broken","Fri Feb 16 01:00:05 GMT 2024","Fri Feb 16 01:00:15 GMT 2024","10187","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
"broken","Fri Feb 16 01:02:48 GMT 2024","Fri Feb 16 01:02:59 GMT 2024","10264","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Fri Feb 16 01:00:30 GMT 2024","Fri Feb 16 01:00:40 GMT 2024","10272","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
"broken","Fri Feb 16 01:01:08 GMT 2024","Fri Feb 16 01:01:18 GMT 2024","10301","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Fri Feb 16 01:00:16 GMT 2024","Fri Feb 16 01:00:16 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Fri Feb 16 01:00:42 GMT 2024","Fri Feb 16 01:00:42 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Fri Feb 16 01:01:57 GMT 2024","Fri Feb 16 01:01:57 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Fri Feb 16 01:00:55 GMT 2024","Fri Feb 16 01:01:06 GMT 2024","10263","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"skipped","Fri Feb 16 01:03:25 GMT 2024","Fri Feb 16 01:03:25 GMT 2024","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Fri Feb 16 01:01:32 GMT 2024","Fri Feb 16 01:01:32 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"broken","Fri Feb 16 01:02:22 GMT 2024","Fri Feb 16 01:02:22 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Fri Feb 16 01:01:19 GMT 2024","Fri Feb 16 01:01:19 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Fri Feb 16 01:03:14 GMT 2024","Fri Feb 16 01:03:24 GMT 2024","10278","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
"broken","Fri Feb 16 01:03:01 GMT 2024","Fri Feb 16 01:03:11 GMT 2024","10227","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Fri Feb 16 01:02:10 GMT 2024","Fri Feb 16 01:02:10 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
