"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 02 01:20:03 GMT 2024","Mon Sep 02 01:20:13 GMT 2024","10255","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Mon Sep 02 01:17:47 GMT 2024","Mon Sep 02 01:17:57 GMT 2024","10256","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Mon Sep 02 01:17:17 GMT 2024","Mon Sep 02 01:17:27 GMT 2024","10253","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
"broken","Mon Sep 02 01:20:18 GMT 2024","Mon Sep 02 01:20:29 GMT 2024","10340","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Mon Sep 02 01:16:58 GMT 2024","Mon Sep 02 01:16:58 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Mon Sep 02 01:19:14 GMT 2024","Mon Sep 02 01:19:14 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Mon Sep 02 01:19:44 GMT 2024","Mon Sep 02 01:19:44 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
"broken","Mon Sep 02 01:18:44 GMT 2024","Mon Sep 02 01:18:44 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"broken","Mon Sep 02 01:18:14 GMT 2024","Mon Sep 02 01:18:14 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Mon Sep 02 01:17:28 GMT 2024","Mon Sep 02 01:17:28 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Mon Sep 02 01:16:40 GMT 2024","Mon Sep 02 01:16:51 GMT 2024","10260","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
"skipped","Mon Sep 02 01:20:45 GMT 2024","Mon Sep 02 01:20:45 GMT 2024","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Mon Sep 02 01:19:29 GMT 2024","Mon Sep 02 01:19:29 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Mon Sep 02 01:18:59 GMT 2024","Mon Sep 02 01:18:59 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Mon Sep 02 01:18:02 GMT 2024","Mon Sep 02 01:18:13 GMT 2024","10267","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Mon Sep 02 01:18:29 GMT 2024","Mon Sep 02 01:18:29 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"broken","Mon Sep 02 01:20:34 GMT 2024","Mon Sep 02 01:20:44 GMT 2024","10269","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
