"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new Workspace","0","Create new workspace test","tests","Sun Jan 26 01:20:43 GMT 2025","broken","Sun Jan 26 01:20:43 GMT 2025","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Sun Jan 26 01:22:41 GMT 2025","broken","Sun Jan 26 01:22:41 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10234","Login with invalid credentials test","tests","Sun Jan 26 01:21:39 GMT 2025","broken","Sun Jan 26 01:21:50 GMT 2025","TestLogin","test_login","",""
"Search for a non existing project","0","Search for non existing project","tests","Sun Jan 26 01:23:17 GMT 2025","broken","Sun Jan 26 01:23:17 GMT 2025","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Sun Jan 26 01:22:06 GMT 2025","broken","Sun Jan 26 01:22:06 GMT 2025","TestWorkspaces","test_workspaces","",""
"Exception catching","10249","Exception test","Custom parent suite","Sun Jan 26 01:24:39 GMT 2025","broken","Sun Jan 26 01:24:49 GMT 2025","Custom sub suite","Custom suite","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Sun Jan 26 01:22:24 GMT 2025","broken","Sun Jan 26 01:22:24 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Sun Jan 26 01:22:59 GMT 2025","broken","Sun Jan 26 01:22:59 GMT 2025","TestWorkspaces","test_workspaces","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Sun Jan 26 01:23:50 GMT 2025","broken","Sun Jan 26 01:23:50 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10244","Forgot Password with invalid email test","Custom parent suite","Sun Jan 26 01:24:24 GMT 2025","broken","Sun Jan 26 01:24:34 GMT 2025","Custom sub suite","Custom suite","",""
"Log out from app","10232","Logout of system test","tests","Sun Jan 26 01:21:07 GMT 2025","broken","Sun Jan 26 01:21:17 GMT 2025","TestLogin","test_login","",""
"valid login","10241","Login with valid credentials test","tests","Sun Jan 26 01:20:31 GMT 2025","broken","Sun Jan 26 01:20:41 GMT 2025","TestLogin","test_login","",""
"Forgot password with a valid email address","10252","Forgot Password with valid email test","Custom parent suite","Sun Jan 26 01:24:08 GMT 2025","broken","Sun Jan 26 01:24:19 GMT 2025","Custom sub suite","Custom suite","",""
"invalid login","10238","Login with invalid credentials test","tests","Sun Jan 26 01:21:55 GMT 2025","broken","Sun Jan 26 01:22:05 GMT 2025","TestLogin","test_login","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Sun Jan 26 01:23:32 GMT 2025","broken","Sun Jan 26 01:23:32 GMT 2025","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Sun Jan 26 01:24:50 GMT 2025","skipped","Sun Jan 26 01:24:50 GMT 2025","TestLogin","test_login","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Sun Jan 26 01:21:18 GMT 2025","broken","Sun Jan 26 01:21:18 GMT 2025","TestWorkspaces","test_workspaces","",""
