"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deleting an existing project from workspace","0","Delete existing project","tests","Sun Jun 01 02:00:29 GMT 2025","broken","Sun Jun 01 02:00:29 GMT 2025","TestWorkspaces","test_workspaces","",""
"Exception catching","10233","Exception test","Custom parent suite","Sun Jun 01 02:01:14 GMT 2025","broken","Sun Jun 01 02:01:24 GMT 2025","Custom sub suite","Custom suite","",""
"Log out from app","10239","Logout of system test","tests","Sun Jun 01 01:58:03 GMT 2025","broken","Sun Jun 01 01:58:14 GMT 2025","TestLogin","test_login","",""
"Forgot Password with invalid email address","10242","Forgot Password with invalid email test","Custom parent suite","Sun Jun 01 02:00:57 GMT 2025","broken","Sun Jun 01 02:01:07 GMT 2025","Custom sub suite","Custom suite","",""
"Forgot password with a valid email address","10237","Forgot Password with valid email test","Custom parent suite","Sun Jun 01 02:00:43 GMT 2025","broken","Sun Jun 01 02:00:53 GMT 2025","Custom sub suite","Custom suite","",""
"Create new Workspace","0","Create new workspace test","tests","Sun Jun 01 01:57:43 GMT 2025","broken","Sun Jun 01 01:57:43 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10242","Login with invalid credentials test","tests","Sun Jun 01 01:58:37 GMT 2025","broken","Sun Jun 01 01:58:47 GMT 2025","TestLogin","test_login","",""
"Search for a non existing project","0","Search for non existing project","tests","Sun Jun 01 02:00:00 GMT 2025","broken","Sun Jun 01 02:00:00 GMT 2025","TestWorkspaces","test_workspaces","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Sun Jun 01 02:00:15 GMT 2025","broken","Sun Jun 01 02:00:15 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10249","Login with valid credentials test","tests","Sun Jun 01 01:57:32 GMT 2025","broken","Sun Jun 01 01:57:42 GMT 2025","TestLogin","test_login","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Sun Jun 01 01:59:33 GMT 2025","broken","Sun Jun 01 01:59:33 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Sun Jun 01 01:59:47 GMT 2025","broken","Sun Jun 01 01:59:47 GMT 2025","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Sun Jun 01 01:59:19 GMT 2025","broken","Sun Jun 01 01:59:19 GMT 2025","TestWorkspaces","test_workspaces","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Sun Jun 01 01:58:14 GMT 2025","broken","Sun Jun 01 01:58:14 GMT 2025","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Sun Jun 01 02:01:25 GMT 2025","skipped","Sun Jun 01 02:01:25 GMT 2025","TestLogin","test_login","",""
"invalid login","10243","Login with invalid credentials test","tests","Sun Jun 01 01:58:52 GMT 2025","broken","Sun Jun 01 01:59:02 GMT 2025","TestLogin","test_login","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Sun Jun 01 01:59:02 GMT 2025","broken","Sun Jun 01 01:59:02 GMT 2025","TestWorkspaces","test_workspaces","",""
