"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Search for a non existing project","0","Search for non existing project","tests","Sun Apr 20 01:44:13 GMT 2025","broken","Sun Apr 20 01:44:13 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10238","Forgot Password with valid email test","Custom parent suite","Sun Apr 20 01:45:04 GMT 2025","broken","Sun Apr 20 01:45:15 GMT 2025","Custom sub suite","Custom suite","",""
"Exception catching","10237","Exception test","Custom parent suite","Sun Apr 20 01:45:35 GMT 2025","broken","Sun Apr 20 01:45:46 GMT 2025","Custom sub suite","Custom suite","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Sun Apr 20 01:44:30 GMT 2025","broken","Sun Apr 20 01:44:30 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10230","Login with invalid credentials test","tests","Sun Apr 20 01:42:57 GMT 2025","broken","Sun Apr 20 01:43:07 GMT 2025","TestLogin","test_login","",""
"Skip Test example","0","Skipped test example","tests","Sun Apr 20 01:45:46 GMT 2025","skipped","Sun Apr 20 01:45:46 GMT 2025","TestLogin","test_login","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Sun Apr 20 01:44:44 GMT 2025","broken","Sun Apr 20 01:44:44 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10304","Forgot Password with invalid email test","Custom parent suite","Sun Apr 20 01:45:18 GMT 2025","broken","Sun Apr 20 01:45:29 GMT 2025","Custom sub suite","Custom suite","",""
"Search for an existing project","0","Search for existing project test","tests","Sun Apr 20 01:43:56 GMT 2025","broken","Sun Apr 20 01:43:56 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10290","Login with valid credentials test","tests","Sun Apr 20 01:41:41 GMT 2025","broken","Sun Apr 20 01:41:51 GMT 2025","TestLogin","test_login","",""
"Log out from app","10244","Logout of system test","tests","Sun Apr 20 01:42:09 GMT 2025","broken","Sun Apr 20 01:42:19 GMT 2025","TestLogin","test_login","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Sun Apr 20 01:43:08 GMT 2025","broken","Sun Apr 20 01:43:08 GMT 2025","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Sun Apr 20 01:41:52 GMT 2025","broken","Sun Apr 20 01:41:52 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10247","Login with invalid credentials test","tests","Sun Apr 20 01:42:40 GMT 2025","broken","Sun Apr 20 01:42:50 GMT 2025","TestLogin","test_login","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Sun Apr 20 01:42:20 GMT 2025","broken","Sun Apr 20 01:42:20 GMT 2025","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Sun Apr 20 01:43:38 GMT 2025","broken","Sun Apr 20 01:43:38 GMT 2025","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Sun Apr 20 01:43:25 GMT 2025","broken","Sun Apr 20 01:43:25 GMT 2025","TestWorkspaces","test_workspaces","",""
