"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Search for an existing project","0","Search for existing project test","tests","Sun Dec 08 01:42:58 GMT 2024","broken","Sun Dec 08 01:42:58 GMT 2024","TestWorkspaces","test_workspaces","",""
"Log out from app","10274","Logout of system test","tests","Sun Dec 08 01:41:10 GMT 2024","broken","Sun Dec 08 01:41:20 GMT 2024","TestLogin","test_login","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Sun Dec 08 01:43:34 GMT 2024","broken","Sun Dec 08 01:43:34 GMT 2024","TestWorkspaces","test_workspaces","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Sun Dec 08 01:43:51 GMT 2024","broken","Sun Dec 08 01:43:51 GMT 2024","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Sun Dec 08 01:42:28 GMT 2024","broken","Sun Dec 08 01:42:28 GMT 2024","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Sun Dec 08 01:44:58 GMT 2024","skipped","Sun Dec 08 01:44:58 GMT 2024","TestLogin","test_login","",""
"Search for a non existing project","0","Search for non existing project","tests","Sun Dec 08 01:43:15 GMT 2024","broken","Sun Dec 08 01:43:15 GMT 2024","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10317","Forgot Password with invalid email test","Custom parent suite","Sun Dec 08 01:44:31 GMT 2024","broken","Sun Dec 08 01:44:41 GMT 2024","Custom sub suite","Custom suite","",""
"Create new Workspace","0","Create new workspace test","tests","Sun Dec 08 01:40:45 GMT 2024","broken","Sun Dec 08 01:40:45 GMT 2024","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10275","Forgot Password with valid email test","Custom parent suite","Sun Dec 08 01:44:13 GMT 2024","broken","Sun Dec 08 01:44:23 GMT 2024","Custom sub suite","Custom suite","",""
"Exception catching","10292","Exception test","Custom parent suite","Sun Dec 08 01:44:46 GMT 2024","broken","Sun Dec 08 01:44:56 GMT 2024","Custom sub suite","Custom suite","",""
"invalid login","10273","Login with invalid credentials test","tests","Sun Dec 08 01:42:01 GMT 2024","broken","Sun Dec 08 01:42:11 GMT 2024","TestLogin","test_login","",""
"invalid login","10275","Login with invalid credentials test","tests","Sun Dec 08 01:41:43 GMT 2024","broken","Sun Dec 08 01:41:53 GMT 2024","TestLogin","test_login","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Sun Dec 08 01:41:21 GMT 2024","broken","Sun Dec 08 01:41:21 GMT 2024","TestWorkspaces","test_workspaces","",""
"valid login","10342","Login with valid credentials test","tests","Sun Dec 08 01:40:33 GMT 2024","broken","Sun Dec 08 01:40:44 GMT 2024","TestLogin","test_login","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Sun Dec 08 01:42:13 GMT 2024","broken","Sun Dec 08 01:42:13 GMT 2024","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Sun Dec 08 01:42:43 GMT 2024","broken","Sun Dec 08 01:42:43 GMT 2024","TestWorkspaces","test_workspaces","",""
