"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"valid login","10268","Login with valid credentials test","tests","Sat Jan 25 01:14:38 GMT 2025","broken","Sat Jan 25 01:14:48 GMT 2025","TestLogin","test_login","",""
"Forgot Password with invalid email address","10281","Forgot Password with invalid email test","Custom parent suite","Sat Jan 25 01:18:30 GMT 2025","broken","Sat Jan 25 01:18:40 GMT 2025","Custom sub suite","Custom suite","",""
"invalid login","10246","Login with invalid credentials test","tests","Sat Jan 25 01:15:46 GMT 2025","broken","Sat Jan 25 01:15:56 GMT 2025","TestLogin","test_login","",""
"Exception catching","10249","Exception test","Custom parent suite","Sat Jan 25 01:18:48 GMT 2025","broken","Sat Jan 25 01:18:58 GMT 2025","Custom sub suite","Custom suite","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Sat Jan 25 01:16:13 GMT 2025","broken","Sat Jan 25 01:16:13 GMT 2025","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Sat Jan 25 01:16:46 GMT 2025","broken","Sat Jan 25 01:16:46 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Sat Jan 25 01:17:03 GMT 2025","broken","Sat Jan 25 01:17:03 GMT 2025","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Sat Jan 25 01:14:49 GMT 2025","broken","Sat Jan 25 01:14:49 GMT 2025","TestWorkspaces","test_workspaces","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Sat Jan 25 01:17:51 GMT 2025","broken","Sat Jan 25 01:17:51 GMT 2025","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Sat Jan 25 01:16:31 GMT 2025","broken","Sat Jan 25 01:16:31 GMT 2025","TestWorkspaces","test_workspaces","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Sat Jan 25 01:17:36 GMT 2025","broken","Sat Jan 25 01:17:36 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10269","Login with invalid credentials test","tests","Sat Jan 25 01:16:01 GMT 2025","broken","Sat Jan 25 01:16:12 GMT 2025","TestLogin","test_login","",""
"Forgot password with a valid email address","10238","Forgot Password with valid email test","Custom parent suite","Sat Jan 25 01:18:15 GMT 2025","broken","Sat Jan 25 01:18:25 GMT 2025","Custom sub suite","Custom suite","",""
"Search for a non existing project","0","Search for non existing project","tests","Sat Jan 25 01:17:21 GMT 2025","broken","Sat Jan 25 01:17:21 GMT 2025","TestWorkspaces","test_workspaces","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Sat Jan 25 01:15:24 GMT 2025","broken","Sat Jan 25 01:15:24 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10250","Logout of system test","tests","Sat Jan 25 01:15:13 GMT 2025","broken","Sat Jan 25 01:15:23 GMT 2025","TestLogin","test_login","",""
"Skip Test example","0","Skipped test example","tests","Sat Jan 25 01:18:59 GMT 2025","skipped","Sat Jan 25 01:18:59 GMT 2025","TestLogin","test_login","",""
