"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Mon Dec 09 01:39:05 GMT 2024","broken","Mon Dec 09 01:39:05 GMT 2024","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Mon Dec 09 01:37:20 GMT 2024","broken","Mon Dec 09 01:37:20 GMT 2024","TestWorkspaces","test_workspaces","",""
"invalid login","10289","Login with invalid credentials test","tests","Mon Dec 09 01:38:24 GMT 2024","broken","Mon Dec 09 01:38:34 GMT 2024","TestLogin","test_login","",""
"Forgot password with a valid email address","10292","Forgot Password with valid email test","Custom parent suite","Mon Dec 09 01:40:23 GMT 2024","broken","Mon Dec 09 01:40:34 GMT 2024","Custom sub suite","Custom suite","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Mon Dec 09 01:39:50 GMT 2024","broken","Mon Dec 09 01:39:50 GMT 2024","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Mon Dec 09 01:38:50 GMT 2024","broken","Mon Dec 09 01:38:50 GMT 2024","TestWorkspaces","test_workspaces","",""
"Log out from app","10285","Logout of system test","tests","Mon Dec 09 01:37:39 GMT 2024","broken","Mon Dec 09 01:37:49 GMT 2024","TestLogin","test_login","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Mon Dec 09 01:40:05 GMT 2024","broken","Mon Dec 09 01:40:05 GMT 2024","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Mon Dec 09 01:38:35 GMT 2024","broken","Mon Dec 09 01:38:35 GMT 2024","TestWorkspaces","test_workspaces","",""
"Exception catching","10292","Exception test","Custom parent suite","Mon Dec 09 01:40:54 GMT 2024","broken","Mon Dec 09 01:41:04 GMT 2024","Custom sub suite","Custom suite","",""
"Skip Test example","0","Skipped test example","tests","Mon Dec 09 01:41:05 GMT 2024","skipped","Mon Dec 09 01:41:05 GMT 2024","TestLogin","test_login","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Mon Dec 09 01:37:50 GMT 2024","broken","Mon Dec 09 01:37:50 GMT 2024","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Mon Dec 09 01:39:35 GMT 2024","broken","Mon Dec 09 01:39:35 GMT 2024","TestWorkspaces","test_workspaces","",""
"valid login","10334","Login with valid credentials test","tests","Mon Dec 09 01:37:09 GMT 2024","broken","Mon Dec 09 01:37:19 GMT 2024","TestLogin","test_login","",""
"Search for an existing project","0","Search for existing project test","tests","Mon Dec 09 01:39:20 GMT 2024","broken","Mon Dec 09 01:39:20 GMT 2024","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10315","Forgot Password with invalid email test","Custom parent suite","Mon Dec 09 01:40:38 GMT 2024","broken","Mon Dec 09 01:40:49 GMT 2024","Custom sub suite","Custom suite","",""
"invalid login","10303","Login with invalid credentials test","tests","Mon Dec 09 01:38:09 GMT 2024","broken","Mon Dec 09 01:38:19 GMT 2024","TestLogin","test_login","",""
