"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Mon Jun 23 01:51:22 GMT 2025","broken","Mon Jun 23 01:51:22 GMT 2025","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Mon Jun 23 01:50:01 GMT 2025","broken","Mon Jun 23 01:50:01 GMT 2025","TestWorkspaces","test_workspaces","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Mon Jun 23 01:52:16 GMT 2025","broken","Mon Jun 23 01:52:16 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Mon Jun 23 01:52:03 GMT 2025","broken","Mon Jun 23 01:52:03 GMT 2025","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Mon Jun 23 01:51:09 GMT 2025","broken","Mon Jun 23 01:51:09 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10243","Login with invalid credentials test","tests","Mon Jun 23 01:50:45 GMT 2025","broken","Mon Jun 23 01:50:55 GMT 2025","TestLogin","test_login","",""
"Skip Test example","0","Skipped test example","tests","Mon Jun 23 01:53:23 GMT 2025","skipped","Mon Jun 23 01:53:23 GMT 2025","TestLogin","test_login","",""
"Search for an existing project","0","Search for existing project test","tests","Mon Jun 23 01:51:49 GMT 2025","broken","Mon Jun 23 01:51:49 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10244","Login with invalid credentials test","tests","Mon Jun 23 01:50:58 GMT 2025","broken","Mon Jun 23 01:51:08 GMT 2025","TestLogin","test_login","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Mon Jun 23 01:50:28 GMT 2025","broken","Mon Jun 23 01:50:28 GMT 2025","TestWorkspaces","test_workspaces","",""
"Exception catching","10240","Exception test","Custom parent suite","Mon Jun 23 01:53:13 GMT 2025","broken","Mon Jun 23 01:53:23 GMT 2025","Custom sub suite","Custom suite","",""
"Forgot password with a valid email address","10247","Forgot Password with valid email test","Custom parent suite","Mon Jun 23 01:52:46 GMT 2025","broken","Mon Jun 23 01:52:56 GMT 2025","Custom sub suite","Custom suite","",""
"Forgot Password with invalid email address","10259","Forgot Password with invalid email test","Custom parent suite","Mon Jun 23 01:52:59 GMT 2025","broken","Mon Jun 23 01:53:10 GMT 2025","Custom sub suite","Custom suite","",""
"valid login","10239","Login with valid credentials test","tests","Mon Jun 23 01:49:51 GMT 2025","broken","Mon Jun 23 01:50:01 GMT 2025","TestLogin","test_login","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Mon Jun 23 01:52:30 GMT 2025","broken","Mon Jun 23 01:52:30 GMT 2025","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Mon Jun 23 01:51:36 GMT 2025","broken","Mon Jun 23 01:51:36 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10227","Logout of system test","tests","Mon Jun 23 01:50:18 GMT 2025","broken","Mon Jun 23 01:50:28 GMT 2025","TestLogin","test_login","",""
