"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 28 01:08:02 GMT 2024","Tue May 28 01:08:13 GMT 2024","10336","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Tue May 28 01:09:33 GMT 2024","Tue May 28 01:09:33 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
"broken","Tue May 28 01:08:26 GMT 2024","Tue May 28 01:08:26 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"broken","Tue May 28 01:08:55 GMT 2024","Tue May 28 01:08:55 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Tue May 28 01:06:56 GMT 2024","Tue May 28 01:06:56 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Tue May 28 01:09:59 GMT 2024","Tue May 28 01:10:09 GMT 2024","10352","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Tue May 28 01:06:44 GMT 2024","Tue May 28 01:06:55 GMT 2024","10086","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
"broken","Tue May 28 01:07:26 GMT 2024","Tue May 28 01:07:26 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Tue May 28 01:10:12 GMT 2024","Tue May 28 01:10:22 GMT 2024","10391","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
"broken","Tue May 28 01:07:50 GMT 2024","Tue May 28 01:08:00 GMT 2024","10218","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"skipped","Tue May 28 01:10:23 GMT 2024","Tue May 28 01:10:23 GMT 2024","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Tue May 28 01:08:39 GMT 2024","Tue May 28 01:08:39 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"broken","Tue May 28 01:09:07 GMT 2024","Tue May 28 01:09:07 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Tue May 28 01:08:14 GMT 2024","Tue May 28 01:08:14 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Tue May 28 01:09:46 GMT 2024","Tue May 28 01:09:57 GMT 2024","10327","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Tue May 28 01:07:15 GMT 2024","Tue May 28 01:07:25 GMT 2024","10349","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
"broken","Tue May 28 01:09:20 GMT 2024","Tue May 28 01:09:20 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
