"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Apr 07 01:10:22 GMT 2024","Sun Apr 07 01:10:22 GMT 2024","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Sun Apr 07 01:08:02 GMT 2024","Sun Apr 07 01:08:13 GMT 2024","10289","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Sun Apr 07 01:08:27 GMT 2024","Sun Apr 07 01:08:27 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"broken","Sun Apr 07 01:09:57 GMT 2024","Sun Apr 07 01:10:08 GMT 2024","10303","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Sun Apr 07 01:09:30 GMT 2024","Sun Apr 07 01:09:30 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
"broken","Sun Apr 07 01:08:52 GMT 2024","Sun Apr 07 01:08:52 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Sun Apr 07 01:07:10 GMT 2024","Sun Apr 07 01:07:10 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Sun Apr 07 01:07:24 GMT 2024","Sun Apr 07 01:07:34 GMT 2024","10238","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
"broken","Sun Apr 07 01:09:45 GMT 2024","Sun Apr 07 01:09:55 GMT 2024","10296","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Sun Apr 07 01:06:58 GMT 2024","Sun Apr 07 01:07:09 GMT 2024","10444","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
"broken","Sun Apr 07 01:07:35 GMT 2024","Sun Apr 07 01:07:35 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Sun Apr 07 01:10:10 GMT 2024","Sun Apr 07 01:10:20 GMT 2024","10287","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
"broken","Sun Apr 07 01:09:18 GMT 2024","Sun Apr 07 01:09:18 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Sun Apr 07 01:07:49 GMT 2024","Sun Apr 07 01:08:00 GMT 2024","10270","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Sun Apr 07 01:09:05 GMT 2024","Sun Apr 07 01:09:05 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Sun Apr 07 01:08:39 GMT 2024","Sun Apr 07 01:08:39 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"broken","Sun Apr 07 01:08:14 GMT 2024","Sun Apr 07 01:08:14 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
