"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 28 01:11:54 GMT 2024","Fri Jun 28 01:11:54 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Fri Jun 28 01:13:18 GMT 2024","Fri Jun 28 01:13:28 GMT 2024","10269","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Fri Jun 28 01:13:02 GMT 2024","Fri Jun 28 01:13:12 GMT 2024","10237","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Fri Jun 28 01:11:21 GMT 2024","Fri Jun 28 01:11:21 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"broken","Fri Jun 28 01:10:35 GMT 2024","Fri Jun 28 01:10:45 GMT 2024","10228","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Fri Jun 28 01:08:59 GMT 2024","Fri Jun 28 01:08:59 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Fri Jun 28 01:10:52 GMT 2024","Fri Jun 28 01:11:03 GMT 2024","10232","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Fri Jun 28 01:13:36 GMT 2024","Fri Jun 28 01:13:46 GMT 2024","10236","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
"broken","Fri Jun 28 01:09:32 GMT 2024","Fri Jun 28 01:09:32 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Fri Jun 28 01:11:38 GMT 2024","Fri Jun 28 01:11:38 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"broken","Fri Jun 28 01:11:04 GMT 2024","Fri Jun 28 01:11:04 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Fri Jun 28 01:12:27 GMT 2024","Fri Jun 28 01:12:27 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Fri Jun 28 01:08:46 GMT 2024","Fri Jun 28 01:08:56 GMT 2024","10255","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
"skipped","Fri Jun 28 01:13:47 GMT 2024","Fri Jun 28 01:13:47 GMT 2024","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Fri Jun 28 01:09:21 GMT 2024","Fri Jun 28 01:09:31 GMT 2024","10232","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
"broken","Fri Jun 28 01:12:09 GMT 2024","Fri Jun 28 01:12:09 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Fri Jun 28 01:12:42 GMT 2024","Fri Jun 28 01:12:42 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
