"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 06 01:01:04 GMT 2023","Fri Oct 06 01:01:14 GMT 2023","10371","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
"broken","Fri Oct 06 01:03:04 GMT 2023","Fri Oct 06 01:03:04 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Fri Oct 06 01:02:49 GMT 2023","Fri Oct 06 01:02:49 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Fri Oct 06 01:03:32 GMT 2023","Fri Oct 06 01:03:43 GMT 2023","10309","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Fri Oct 06 01:00:37 GMT 2023","Fri Oct 06 01:00:47 GMT 2023","10327","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
"broken","Fri Oct 06 01:00:49 GMT 2023","Fri Oct 06 01:00:49 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Fri Oct 06 01:03:46 GMT 2023","Fri Oct 06 01:03:56 GMT 2023","10386","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Fri Oct 06 01:01:44 GMT 2023","Fri Oct 06 01:01:54 GMT 2023","10357","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Fri Oct 06 01:01:56 GMT 2023","Fri Oct 06 01:01:56 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Fri Oct 06 01:02:23 GMT 2023","Fri Oct 06 01:02:23 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"broken","Fri Oct 06 01:01:30 GMT 2023","Fri Oct 06 01:01:41 GMT 2023","10347","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Fri Oct 06 01:01:16 GMT 2023","Fri Oct 06 01:01:16 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Fri Oct 06 01:04:00 GMT 2023","Fri Oct 06 01:04:10 GMT 2023","10361","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
"broken","Fri Oct 06 01:02:09 GMT 2023","Fri Oct 06 01:02:09 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"broken","Fri Oct 06 01:02:36 GMT 2023","Fri Oct 06 01:02:36 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"skipped","Fri Oct 06 01:04:12 GMT 2023","Fri Oct 06 01:04:12 GMT 2023","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Fri Oct 06 01:03:17 GMT 2023","Fri Oct 06 01:03:17 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
