"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 30 01:15:45 GMT 2024","Fri Aug 30 01:15:45 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Fri Aug 30 01:15:03 GMT 2024","Fri Aug 30 01:15:13 GMT 2024","10273","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
"broken","Fri Aug 30 01:17:16 GMT 2024","Fri Aug 30 01:17:16 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Fri Aug 30 01:17:31 GMT 2024","Fri Aug 30 01:17:31 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Fri Aug 30 01:15:34 GMT 2024","Fri Aug 30 01:15:44 GMT 2024","10270","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
"broken","Fri Aug 30 01:16:30 GMT 2024","Fri Aug 30 01:16:30 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Fri Aug 30 01:17:46 GMT 2024","Fri Aug 30 01:17:46 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Fri Aug 30 01:17:01 GMT 2024","Fri Aug 30 01:17:01 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"broken","Fri Aug 30 01:18:51 GMT 2024","Fri Aug 30 01:19:01 GMT 2024","10269","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
"broken","Fri Aug 30 01:16:19 GMT 2024","Fri Aug 30 01:16:29 GMT 2024","10276","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Fri Aug 30 01:15:14 GMT 2024","Fri Aug 30 01:15:14 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Fri Aug 30 01:16:04 GMT 2024","Fri Aug 30 01:16:14 GMT 2024","10282","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Fri Aug 30 01:18:20 GMT 2024","Fri Aug 30 01:18:31 GMT 2024","10272","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Fri Aug 30 01:18:36 GMT 2024","Fri Aug 30 01:18:46 GMT 2024","10290","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Fri Aug 30 01:16:46 GMT 2024","Fri Aug 30 01:16:46 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"skipped","Fri Aug 30 01:19:02 GMT 2024","Fri Aug 30 01:19:02 GMT 2024","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Fri Aug 30 01:18:01 GMT 2024","Fri Aug 30 01:18:01 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
