"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deleting an existing project from workspace","0","Delete existing project","tests","Wed Nov 06 01:21:34 GMT 2024","broken","Wed Nov 06 01:21:34 GMT 2024","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Wed Nov 06 01:22:43 GMT 2024","skipped","Wed Nov 06 01:22:43 GMT 2024","TestLogin","test_login","",""
"invalid login","10263","Login with invalid credentials test","tests","Wed Nov 06 01:19:25 GMT 2024","broken","Wed Nov 06 01:19:35 GMT 2024","TestLogin","test_login","",""
"invalid login","10261","Login with invalid credentials test","tests","Wed Nov 06 01:19:43 GMT 2024","broken","Wed Nov 06 01:19:53 GMT 2024","TestLogin","test_login","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Wed Nov 06 01:21:22 GMT 2024","broken","Wed Nov 06 01:21:22 GMT 2024","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10257","Forgot Password with invalid email test","Custom parent suite","Wed Nov 06 01:22:14 GMT 2024","broken","Wed Nov 06 01:22:24 GMT 2024","Custom sub suite","Custom suite","",""
"Search for an existing project","0","Search for existing project test","tests","Wed Nov 06 01:20:46 GMT 2024","broken","Wed Nov 06 01:20:46 GMT 2024","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Wed Nov 06 01:20:12 GMT 2024","broken","Wed Nov 06 01:20:12 GMT 2024","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Wed Nov 06 01:18:30 GMT 2024","broken","Wed Nov 06 01:18:30 GMT 2024","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Wed Nov 06 01:20:29 GMT 2024","broken","Wed Nov 06 01:20:29 GMT 2024","TestWorkspaces","test_workspaces","",""
"Log out from app","10267","Logout of system test","tests","Wed Nov 06 01:18:51 GMT 2024","broken","Wed Nov 06 01:19:01 GMT 2024","TestLogin","test_login","",""
"Search for a non existing project","0","Search for non existing project","tests","Wed Nov 06 01:21:04 GMT 2024","broken","Wed Nov 06 01:21:04 GMT 2024","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Wed Nov 06 01:19:54 GMT 2024","broken","Wed Nov 06 01:19:54 GMT 2024","TestWorkspaces","test_workspaces","",""
"Exception catching","10268","Exception test","Custom parent suite","Wed Nov 06 01:22:32 GMT 2024","broken","Wed Nov 06 01:22:42 GMT 2024","Custom sub suite","Custom suite","",""
"valid login","10258","Login with valid credentials test","tests","Wed Nov 06 01:18:18 GMT 2024","broken","Wed Nov 06 01:18:28 GMT 2024","TestLogin","test_login","",""
"Forgot password with a valid email address","10264","Forgot Password with valid email test","Custom parent suite","Wed Nov 06 01:21:55 GMT 2024","broken","Wed Nov 06 01:22:05 GMT 2024","Custom sub suite","Custom suite","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Wed Nov 06 01:19:02 GMT 2024","broken","Wed Nov 06 01:19:02 GMT 2024","TestWorkspaces","test_workspaces","",""
