"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Search for a non existing project","0","Search for non existing project","tests","Fri Mar 28 01:27:35 GMT 2025","broken","Fri Mar 28 01:27:35 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10242","Login with valid credentials test","tests","Fri Mar 28 01:25:08 GMT 2025","broken","Fri Mar 28 01:25:19 GMT 2025","TestLogin","test_login","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Fri Mar 28 01:27:06 GMT 2025","broken","Fri Mar 28 01:27:06 GMT 2025","TestWorkspaces","test_workspaces","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Fri Mar 28 01:28:05 GMT 2025","broken","Fri Mar 28 01:28:05 GMT 2025","TestWorkspaces","test_workspaces","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Fri Mar 28 01:27:50 GMT 2025","broken","Fri Mar 28 01:27:50 GMT 2025","TestWorkspaces","test_workspaces","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Fri Mar 28 01:25:50 GMT 2025","broken","Fri Mar 28 01:25:50 GMT 2025","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Fri Mar 28 01:25:20 GMT 2025","broken","Fri Mar 28 01:25:20 GMT 2025","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Fri Mar 28 01:29:05 GMT 2025","skipped","Fri Mar 28 01:29:05 GMT 2025","TestLogin","test_login","",""
"Forgot password with a valid email address","10274","Forgot Password with valid email test","Custom parent suite","Fri Mar 28 01:28:24 GMT 2025","broken","Fri Mar 28 01:28:34 GMT 2025","Custom sub suite","Custom suite","",""
"invalid login","10249","Login with invalid credentials test","tests","Fri Mar 28 01:26:24 GMT 2025","broken","Fri Mar 28 01:26:35 GMT 2025","TestLogin","test_login","",""
"Exception catching","10259","Exception test","Custom parent suite","Fri Mar 28 01:28:54 GMT 2025","broken","Fri Mar 28 01:29:04 GMT 2025","Custom sub suite","Custom suite","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Fri Mar 28 01:26:51 GMT 2025","broken","Fri Mar 28 01:26:51 GMT 2025","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Fri Mar 28 01:26:36 GMT 2025","broken","Fri Mar 28 01:26:36 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10249","Login with invalid credentials test","tests","Fri Mar 28 01:26:08 GMT 2025","broken","Fri Mar 28 01:26:19 GMT 2025","TestLogin","test_login","",""
"Forgot Password with invalid email address","10298","Forgot Password with invalid email test","Custom parent suite","Fri Mar 28 01:28:39 GMT 2025","broken","Fri Mar 28 01:28:49 GMT 2025","Custom sub suite","Custom suite","",""
"Search for an existing project","0","Search for existing project test","tests","Fri Mar 28 01:27:21 GMT 2025","broken","Fri Mar 28 01:27:21 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10249","Logout of system test","tests","Fri Mar 28 01:25:38 GMT 2025","broken","Fri Mar 28 01:25:49 GMT 2025","TestLogin","test_login","",""
