"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"invalid login","10264","Login with invalid credentials test","tests","Thu Feb 13 01:21:32 GMT 2025","broken","Thu Feb 13 01:21:42 GMT 2025","TestLogin","test_login","",""
"Search for a non existing project","0","Search for non existing project","tests","Thu Feb 13 01:22:43 GMT 2025","broken","Thu Feb 13 01:22:43 GMT 2025","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Thu Feb 13 01:24:15 GMT 2025","skipped","Thu Feb 13 01:24:15 GMT 2025","TestLogin","test_login","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Thu Feb 13 01:20:59 GMT 2025","broken","Thu Feb 13 01:20:59 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Thu Feb 13 01:22:28 GMT 2025","broken","Thu Feb 13 01:22:28 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10284","Forgot Password with invalid email test","Custom parent suite","Thu Feb 13 01:23:48 GMT 2025","broken","Thu Feb 13 01:23:59 GMT 2025","Custom sub suite","Custom suite","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Thu Feb 13 01:22:13 GMT 2025","broken","Thu Feb 13 01:22:13 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10299","Login with valid credentials test","tests","Thu Feb 13 01:20:17 GMT 2025","broken","Thu Feb 13 01:20:27 GMT 2025","TestLogin","test_login","",""
"Log out from app","10260","Logout of system test","tests","Thu Feb 13 01:20:48 GMT 2025","broken","Thu Feb 13 01:20:58 GMT 2025","TestLogin","test_login","",""
"Exception catching","10268","Exception test","Custom parent suite","Thu Feb 13 01:24:03 GMT 2025","broken","Thu Feb 13 01:24:14 GMT 2025","Custom sub suite","Custom suite","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Thu Feb 13 01:22:59 GMT 2025","broken","Thu Feb 13 01:22:59 GMT 2025","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Thu Feb 13 01:20:28 GMT 2025","broken","Thu Feb 13 01:20:28 GMT 2025","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Thu Feb 13 01:21:44 GMT 2025","broken","Thu Feb 13 01:21:44 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10262","Forgot Password with valid email test","Custom parent suite","Thu Feb 13 01:23:34 GMT 2025","broken","Thu Feb 13 01:23:44 GMT 2025","Custom sub suite","Custom suite","",""
"invalid login","10251","Login with invalid credentials test","tests","Thu Feb 13 01:21:17 GMT 2025","broken","Thu Feb 13 01:21:28 GMT 2025","TestLogin","test_login","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Thu Feb 13 01:23:15 GMT 2025","broken","Thu Feb 13 01:23:15 GMT 2025","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Thu Feb 13 01:21:58 GMT 2025","broken","Thu Feb 13 01:21:58 GMT 2025","TestWorkspaces","test_workspaces","",""
