"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Skip Test example","0","Skipped test example","tests","Sat Jul 12 01:52:38 GMT 2025","skipped","Sat Jul 12 01:52:38 GMT 2025","TestLogin","test_login","",""
"Search for an existing project","0","Search for existing project test","tests","Sat Jul 12 01:51:04 GMT 2025","broken","Sat Jul 12 01:51:04 GMT 2025","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Sat Jul 12 01:50:37 GMT 2025","broken","Sat Jul 12 01:50:37 GMT 2025","TestWorkspaces","test_workspaces","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Sat Jul 12 01:51:31 GMT 2025","broken","Sat Jul 12 01:51:31 GMT 2025","TestWorkspaces","test_workspaces","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Sat Jul 12 01:49:43 GMT 2025","broken","Sat Jul 12 01:49:43 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Sat Jul 12 01:51:17 GMT 2025","broken","Sat Jul 12 01:51:17 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10242","Forgot Password with valid email test","Custom parent suite","Sat Jul 12 01:52:00 GMT 2025","broken","Sat Jul 12 01:52:10 GMT 2025","Custom sub suite","Custom suite","",""
"Create new Workspace","0","Create new workspace test","tests","Sat Jul 12 01:49:16 GMT 2025","broken","Sat Jul 12 01:49:16 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10267","Forgot Password with invalid email test","Custom parent suite","Sat Jul 12 01:52:14 GMT 2025","broken","Sat Jul 12 01:52:24 GMT 2025","Custom sub suite","Custom suite","",""
"Log out from app","10242","Logout of system test","tests","Sat Jul 12 01:49:32 GMT 2025","broken","Sat Jul 12 01:49:43 GMT 2025","TestLogin","test_login","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Sat Jul 12 01:50:50 GMT 2025","broken","Sat Jul 12 01:50:50 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10282","Login with valid credentials test","tests","Sat Jul 12 01:49:05 GMT 2025","broken","Sat Jul 12 01:49:16 GMT 2025","TestLogin","test_login","",""
"invalid login","10251","Login with invalid credentials test","tests","Sat Jul 12 01:50:13 GMT 2025","broken","Sat Jul 12 01:50:23 GMT 2025","TestLogin","test_login","",""
"Exception catching","10247","Exception test","Custom parent suite","Sat Jul 12 01:52:27 GMT 2025","broken","Sat Jul 12 01:52:37 GMT 2025","Custom sub suite","Custom suite","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Sat Jul 12 01:50:23 GMT 2025","broken","Sat Jul 12 01:50:23 GMT 2025","TestWorkspaces","test_workspaces","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Sat Jul 12 01:51:44 GMT 2025","broken","Sat Jul 12 01:51:44 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10245","Login with invalid credentials test","tests","Sat Jul 12 01:49:59 GMT 2025","broken","Sat Jul 12 01:50:10 GMT 2025","TestLogin","test_login","",""
