"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Rename an existing workspace","0","Rename an existing workspace test","tests","Sun Nov 24 01:35:59 GMT 2024","broken","Sun Nov 24 01:35:59 GMT 2024","TestWorkspaces","test_workspaces","",""
"Exception catching","10286","Exception test","Custom parent suite","Sun Nov 24 01:39:03 GMT 2024","broken","Sun Nov 24 01:39:13 GMT 2024","Custom sub suite","Custom suite","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Sun Nov 24 01:37:14 GMT 2024","broken","Sun Nov 24 01:37:14 GMT 2024","TestWorkspaces","test_workspaces","",""
"invalid login","10297","Login with invalid credentials test","tests","Sun Nov 24 01:36:33 GMT 2024","broken","Sun Nov 24 01:36:43 GMT 2024","TestLogin","test_login","",""
"Forgot Password with invalid email address","10292","Forgot Password with invalid email test","Custom parent suite","Sun Nov 24 01:38:47 GMT 2024","broken","Sun Nov 24 01:38:58 GMT 2024","Custom sub suite","Custom suite","",""
"Search for an existing project","0","Search for existing project test","tests","Sun Nov 24 01:37:29 GMT 2024","broken","Sun Nov 24 01:37:29 GMT 2024","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Sun Nov 24 01:36:59 GMT 2024","broken","Sun Nov 24 01:36:59 GMT 2024","TestWorkspaces","test_workspaces","",""
"valid login","10314","Login with valid credentials test","tests","Sun Nov 24 01:35:18 GMT 2024","broken","Sun Nov 24 01:35:28 GMT 2024","TestLogin","test_login","",""
"Skip Test example","0","Skipped test example","tests","Sun Nov 24 01:39:15 GMT 2024","skipped","Sun Nov 24 01:39:15 GMT 2024","TestLogin","test_login","",""
"Create new Workspace","0","Create new workspace test","tests","Sun Nov 24 01:35:29 GMT 2024","broken","Sun Nov 24 01:35:29 GMT 2024","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10292","Forgot Password with valid email test","Custom parent suite","Sun Nov 24 01:38:32 GMT 2024","broken","Sun Nov 24 01:38:43 GMT 2024","Custom sub suite","Custom suite","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Sun Nov 24 01:36:44 GMT 2024","broken","Sun Nov 24 01:36:44 GMT 2024","TestWorkspaces","test_workspaces","",""
"Log out from app","10292","Logout of system test","tests","Sun Nov 24 01:35:48 GMT 2024","broken","Sun Nov 24 01:35:58 GMT 2024","TestLogin","test_login","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Sun Nov 24 01:38:14 GMT 2024","broken","Sun Nov 24 01:38:14 GMT 2024","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Sun Nov 24 01:37:44 GMT 2024","broken","Sun Nov 24 01:37:44 GMT 2024","TestWorkspaces","test_workspaces","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Sun Nov 24 01:37:59 GMT 2024","broken","Sun Nov 24 01:37:59 GMT 2024","TestWorkspaces","test_workspaces","",""
"invalid login","10297","Login with invalid credentials test","tests","Sun Nov 24 01:36:18 GMT 2024","broken","Sun Nov 24 01:36:28 GMT 2024","TestLogin","test_login","",""
