"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deleting an existing project from workspace","0","Delete existing project","tests","Thu Nov 28 01:28:19 GMT 2024","broken","Thu Nov 28 01:28:19 GMT 2024","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Thu Nov 28 01:26:48 GMT 2024","broken","Thu Nov 28 01:26:48 GMT 2024","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10292","Forgot Password with valid email test","Custom parent suite","Thu Nov 28 01:28:35 GMT 2024","broken","Thu Nov 28 01:28:45 GMT 2024","Custom sub suite","Custom suite","",""
"Search for a non existing project","0","Search for non existing project","tests","Thu Nov 28 01:27:49 GMT 2024","broken","Thu Nov 28 01:27:49 GMT 2024","TestWorkspaces","test_workspaces","",""
"Skip Test example","0","Skipped test example","tests","Thu Nov 28 01:29:16 GMT 2024","skipped","Thu Nov 28 01:29:16 GMT 2024","TestLogin","test_login","",""
"invalid login","10291","Login with invalid credentials test","tests","Thu Nov 28 01:26:37 GMT 2024","broken","Thu Nov 28 01:26:47 GMT 2024","TestLogin","test_login","",""
"Create new Workspace","0","Create new workspace test","tests","Thu Nov 28 01:25:34 GMT 2024","broken","Thu Nov 28 01:25:34 GMT 2024","TestWorkspaces","test_workspaces","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Thu Nov 28 01:27:18 GMT 2024","broken","Thu Nov 28 01:27:18 GMT 2024","TestWorkspaces","test_workspaces","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Thu Nov 28 01:26:04 GMT 2024","broken","Thu Nov 28 01:26:04 GMT 2024","TestWorkspaces","test_workspaces","",""
"Log out from app","10293","Logout of system test","tests","Thu Nov 28 01:25:52 GMT 2024","broken","Thu Nov 28 01:26:03 GMT 2024","TestLogin","test_login","",""
"Search for an existing project","0","Search for existing project test","tests","Thu Nov 28 01:27:34 GMT 2024","broken","Thu Nov 28 01:27:34 GMT 2024","TestWorkspaces","test_workspaces","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Thu Nov 28 01:28:04 GMT 2024","broken","Thu Nov 28 01:28:04 GMT 2024","TestWorkspaces","test_workspaces","",""
"valid login","10285","Login with valid credentials test","tests","Thu Nov 28 01:25:22 GMT 2024","broken","Thu Nov 28 01:25:32 GMT 2024","TestLogin","test_login","",""
"Forgot Password with invalid email address","10329","Forgot Password with invalid email test","Custom parent suite","Thu Nov 28 01:28:50 GMT 2024","broken","Thu Nov 28 01:29:00 GMT 2024","Custom sub suite","Custom suite","",""
"Exception catching","10288","Exception test","Custom parent suite","Thu Nov 28 01:29:05 GMT 2024","broken","Thu Nov 28 01:29:15 GMT 2024","Custom sub suite","Custom suite","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Thu Nov 28 01:27:03 GMT 2024","broken","Thu Nov 28 01:27:03 GMT 2024","TestWorkspaces","test_workspaces","",""
"invalid login","10294","Login with invalid credentials test","tests","Thu Nov 28 01:26:22 GMT 2024","broken","Thu Nov 28 01:26:32 GMT 2024","TestLogin","test_login","",""
