"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"invalid login","10321","Login with invalid credentials test","tests","Tue Dec 17 01:27:53 GMT 2024","broken","Tue Dec 17 01:28:03 GMT 2024","TestLogin","test_login","",""
"Log out from app","10289","Logout of system test","tests","Tue Dec 17 01:27:15 GMT 2024","broken","Tue Dec 17 01:27:26 GMT 2024","TestLogin","test_login","",""
"invalid login","10306","Login with invalid credentials test","tests","Tue Dec 17 01:28:08 GMT 2024","broken","Tue Dec 17 01:28:18 GMT 2024","TestLogin","test_login","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Tue Dec 17 01:30:00 GMT 2024","broken","Tue Dec 17 01:30:00 GMT 2024","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Tue Dec 17 01:28:37 GMT 2024","broken","Tue Dec 17 01:28:37 GMT 2024","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10349","Forgot Password with invalid email test","Custom parent suite","Tue Dec 17 01:30:39 GMT 2024","broken","Tue Dec 17 01:30:49 GMT 2024","Custom sub suite","Custom suite","",""
"valid login","10293","Login with valid credentials test","tests","Tue Dec 17 01:26:45 GMT 2024","broken","Tue Dec 17 01:26:55 GMT 2024","TestLogin","test_login","",""
"Skip Test example","0","Skipped test example","tests","Tue Dec 17 01:31:08 GMT 2024","skipped","Tue Dec 17 01:31:08 GMT 2024","TestLogin","test_login","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Tue Dec 17 01:29:45 GMT 2024","broken","Tue Dec 17 01:29:45 GMT 2024","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10311","Forgot Password with valid email test","Custom parent suite","Tue Dec 17 01:30:21 GMT 2024","broken","Tue Dec 17 01:30:31 GMT 2024","Custom sub suite","Custom suite","",""
"Exception catching","10296","Exception test","Custom parent suite","Tue Dec 17 01:30:57 GMT 2024","broken","Tue Dec 17 01:31:07 GMT 2024","Custom sub suite","Custom suite","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Tue Dec 17 01:28:55 GMT 2024","broken","Tue Dec 17 01:28:55 GMT 2024","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Tue Dec 17 01:29:29 GMT 2024","broken","Tue Dec 17 01:29:29 GMT 2024","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Tue Dec 17 01:29:13 GMT 2024","broken","Tue Dec 17 01:29:13 GMT 2024","TestWorkspaces","test_workspaces","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Tue Dec 17 01:27:27 GMT 2024","broken","Tue Dec 17 01:27:27 GMT 2024","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Tue Dec 17 01:26:56 GMT 2024","broken","Tue Dec 17 01:26:56 GMT 2024","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Tue Dec 17 01:28:19 GMT 2024","broken","Tue Dec 17 01:28:19 GMT 2024","TestWorkspaces","test_workspaces","",""
