"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Rename an existing workspace","0","Rename an existing workspace test","tests","Fri Mar 07 01:24:28 GMT 2025","broken","Fri Mar 07 01:24:28 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Fri Mar 07 01:26:12 GMT 2025","broken","Fri Mar 07 01:26:12 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10241","Login with valid credentials test","tests","Fri Mar 07 01:23:47 GMT 2025","broken","Fri Mar 07 01:23:57 GMT 2025","TestLogin","test_login","",""
"invalid login","10255","Login with invalid credentials test","tests","Fri Mar 07 01:25:01 GMT 2025","broken","Fri Mar 07 01:25:12 GMT 2025","TestLogin","test_login","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Fri Mar 07 01:25:27 GMT 2025","broken","Fri Mar 07 01:25:27 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10262","Logout of system test","tests","Fri Mar 07 01:24:17 GMT 2025","broken","Fri Mar 07 01:24:27 GMT 2025","TestLogin","test_login","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Fri Mar 07 01:25:13 GMT 2025","broken","Fri Mar 07 01:25:13 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10251","Forgot Password with valid email test","Custom parent suite","Fri Mar 07 01:27:00 GMT 2025","broken","Fri Mar 07 01:27:10 GMT 2025","Custom sub suite","Custom suite","",""
"Skip Test example","0","Skipped test example","tests","Fri Mar 07 01:27:41 GMT 2025","skipped","Fri Mar 07 01:27:41 GMT 2025","TestLogin","test_login","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Fri Mar 07 01:25:42 GMT 2025","broken","Fri Mar 07 01:25:42 GMT 2025","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Fri Mar 07 01:23:58 GMT 2025","broken","Fri Mar 07 01:23:58 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot Password with invalid email address","10238","Forgot Password with invalid email test","Custom parent suite","Fri Mar 07 01:27:15 GMT 2025","broken","Fri Mar 07 01:27:25 GMT 2025","Custom sub suite","Custom suite","",""
"invalid login","10259","Login with invalid credentials test","tests","Fri Mar 07 01:24:46 GMT 2025","broken","Fri Mar 07 01:24:57 GMT 2025","TestLogin","test_login","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Fri Mar 07 01:26:41 GMT 2025","broken","Fri Mar 07 01:26:41 GMT 2025","TestWorkspaces","test_workspaces","",""
"Exception catching","10256","Exception test","Custom parent suite","Fri Mar 07 01:27:30 GMT 2025","broken","Fri Mar 07 01:27:40 GMT 2025","Custom sub suite","Custom suite","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Fri Mar 07 01:26:27 GMT 2025","broken","Fri Mar 07 01:26:27 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for an existing project","0","Search for existing project test","tests","Fri Mar 07 01:25:57 GMT 2025","broken","Fri Mar 07 01:25:57 GMT 2025","TestWorkspaces","test_workspaces","",""
