"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Search for an existing project","0","Search for existing project test","tests","Mon Jun 16 01:49:05 GMT 2025","broken","Mon Jun 16 01:49:05 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10247","Logout of system test","tests","Mon Jun 16 01:47:19 GMT 2025","broken","Mon Jun 16 01:47:29 GMT 2025","TestLogin","test_login","",""
"invalid login","10249","Login with invalid credentials test","tests","Mon Jun 16 01:48:07 GMT 2025","broken","Mon Jun 16 01:48:17 GMT 2025","TestLogin","test_login","",""
"Skip Test example","0","Skipped test example","tests","Mon Jun 16 01:50:48 GMT 2025","skipped","Mon Jun 16 01:50:48 GMT 2025","TestLogin","test_login","",""
"Search for a non existing project","0","Search for non existing project","tests","Mon Jun 16 01:49:16 GMT 2025","broken","Mon Jun 16 01:49:16 GMT 2025","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Mon Jun 16 01:48:17 GMT 2025","broken","Mon Jun 16 01:48:17 GMT 2025","TestWorkspaces","test_workspaces","",""
"Create new Workspace","0","Create new workspace test","tests","Mon Jun 16 01:47:03 GMT 2025","broken","Mon Jun 16 01:47:03 GMT 2025","TestWorkspaces","test_workspaces","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Mon Jun 16 01:48:34 GMT 2025","broken","Mon Jun 16 01:48:34 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10246","Login with invalid credentials test","tests","Mon Jun 16 01:47:50 GMT 2025","broken","Mon Jun 16 01:48:00 GMT 2025","TestLogin","test_login","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Mon Jun 16 01:49:30 GMT 2025","broken","Mon Jun 16 01:49:30 GMT 2025","TestWorkspaces","test_workspaces","",""
"Exception catching","10260","Exception test","Custom parent suite","Mon Jun 16 01:50:37 GMT 2025","broken","Mon Jun 16 01:50:47 GMT 2025","Custom sub suite","Custom suite","",""
"Forgot Password with invalid email address","10250","Forgot Password with invalid email test","Custom parent suite","Mon Jun 16 01:50:20 GMT 2025","broken","Mon Jun 16 01:50:30 GMT 2025","Custom sub suite","Custom suite","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Mon Jun 16 01:49:47 GMT 2025","broken","Mon Jun 16 01:49:47 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10257","Login with valid credentials test","tests","Mon Jun 16 01:46:52 GMT 2025","broken","Mon Jun 16 01:47:02 GMT 2025","TestLogin","test_login","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Mon Jun 16 01:48:51 GMT 2025","broken","Mon Jun 16 01:48:51 GMT 2025","TestWorkspaces","test_workspaces","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Mon Jun 16 01:47:30 GMT 2025","broken","Mon Jun 16 01:47:30 GMT 2025","TestWorkspaces","test_workspaces","",""
"Forgot password with a valid email address","10247","Forgot Password with valid email test","Custom parent suite","Mon Jun 16 01:50:07 GMT 2025","broken","Mon Jun 16 01:50:17 GMT 2025","Custom sub suite","Custom suite","",""
